#{"t_start": 1764555172.557966, "env_id": "None"}
r,l,t
167.901334,49,13170.632569
238.027623,84,13175.228301
-81.496046,450,13199.47268
-0.633761,225,13211.784813
182.783119,50,13214.577101
-1.176056,450,13238.842521
-5.744002,450,13263.337676
-68.264049,450,13287.808022
-16.584009,450,13312.496561
237.802682,187,13322.746763
9.971992,450,13347.483769
379.338758,235,13360.404224
140.078253,252,13374.170043
-46.364049,450,13399.002205
244.98046,134,13406.349578
-0.488001,450,13431.00767
120.408006,450,13455.025113
-114.676062,450,13479.72539
166.640448,107,13485.764496
-11.272001,450,13510.464605
161.298206,36,13512.51689
264.768013,100,13517.848045
-11.499994,450,13542.566788
13.367995,450,13566.943909
330.247125,167,13576.172446
223.256903,78,13580.428402
353.070755,205,13591.731739
200.836013,450,13616.479083
17.231139,293,13632.422185
25.691959,450,13657.322315
168.796003,46,13659.806993
141.018215,36,13661.811625
-12.456006,450,13686.434341
195.545793,65,13690.007741
250.399572,264,13704.397434
-9.240017,450,13729.096877
197.268058,450,13753.774091
205.580459,323,13771.475017
308.994208,145,13779.343117
299.847139,185,13789.603787
-13.196024,450,13814.335329
167.027548,39,13816.502521
266.57158,399,13838.572418
154.907103,41,13840.784961
-8.996033,450,13865.465096
-10.000002,450,13889.968594
238.027622,84,13894.517519
167.968,46,13896.986901
209.368014,73,13901.029819
239.944493,215,13912.745831
-14.500003,450,13937.448646
124.34044,152,13945.796867
269.918689,160,13954.569002
203.580461,107,13960.515884
-84.918141,362,13980.457107
273.480021,450,14005.264803
329.42987,209,14016.699034
-13.700003,450,14041.481017
154.079104,41,14043.730708
235.058282,72,14047.656712
106.897289,351,14066.669573
-17.703039,177,14076.347459
269.374343,155,14084.943225
151.652011,450,14109.510478
162.103986,37,14111.559938
100.83203,450,14136.365872
-60.84002,450,14161.063282
153.990215,45,14163.533818
31.500011,280,14179.00319
-54.552034,450,14203.958889
-0.688001,450,14228.776229
154.884881,42,14231.053918
404.166734,205,14242.044383
339.399571,165,14251.087947
-74.199554,413,14273.638608
209.412459,71,14277.616497
203.582241,225,14289.984524
-11.300001,450,14316.737033
377.740574,178,14327.389952
336.491665,153,14336.412655
182.783119,50,14339.568802
-3.672007,450,14364.867501
368.051437,191,14375.235462
-7.351999,450,14399.889521
422.07316,201,14411.135775
-26.520009,450,14436.092199
-110.111111,6,14436.45988
228.724904,231,14449.363815
393.113804,218,14461.430988
155.591101,32,14463.131307
210.494259,63,14466.435954
-10.943994,450,14491.281331
374.55912,212,14503.000567
262.411177,194,14513.801458
182.61824,54,14516.693619
344.940453,395,14538.474517
357.914435,197,14549.170374
154.884881,42,14551.558077
-15.752061,450,14575.937483
233.811145,221,14588.423525
114.380484,69,14592.174564
3.675973,450,14616.635264
251.72935,94,14621.938905
168.729337,49,14624.688165
165.508089,450,14650.123443
154.295992,64,14653.638828
276.510854,109,14659.712203
182.527563,57,14663.141381
-27.59601,450,14688.140272
-6.663973,450,14712.773724
149.706218,36,14714.733247
398.780683,199,14725.708986
-15.228011,450,14750.32682
-15.856007,450,14774.900434
117.573773,353,14794.22181
167.04977,38,14796.277302
-79.736035,450,14820.8924
154.101327,40,14823.04783
366.86673,259,14837.285316
-20.770545,58,14840.449457
-103.889789,27,14841.980421
303.871993,159,14850.711799
45.0681,450,14875.405425
289.781345,157,14884.101171
-18.684011,450,14908.894097
13.256024,450,14933.420068
126.323553,30,14935.048279
228.317591,118,14941.622719
154.884881,42,14943.977276
-94.451118,15,14944.828617
223.168014,82,14949.360239
207.369363,58,14952.666801
221.236045,64,14956.20534
-22.55601,450,14980.934918
295.545876,128,14988.33167
364.558247,243,15001.883451
30.791581,417,15024.375422
180.948103,450,15049.02914
278.720317,200,15060.03402
184.258232,333,15078.32694
167.901334,49,15080.996992
-51.652022,450,15105.504957
149.839551,30,15107.215968
99.749073,445,15131.569812
125.417306,24,15132.95271
126.256886,33,15134.810938
-19.984013,450,15159.890918
286.013792,173,15169.285987
310.900068,172,15178.706157
308.955624,246,15192.21406
-94.472007,136,15199.719565
304.588956,186,15210.152477
251.74939,202,15221.421273
149.795107,32,15223.243773
210.262684,70,15227.035419
162.081764,38,15229.071404
-100.32178,360,15249.055347
354.658247,306,15265.999151
235.03606,73,15269.926105
127.084886,33,15271.744187
255.72223,135,15279.124122
110.108005,450,15303.808145
291.448521,126,15310.779615
-14.228002,450,15335.574672
286.869348,139,15343.417734
161.320428,35,15345.304548
-101.094226,389,15366.493866
147.900884,114,15372.79242
182.573796,56,15375.78465
258.578422,439,15399.49618
235.058282,72,15403.453538
-7.415992,450,15428.593918
-80.896035,450,15453.050709
330.069347,175,15462.78372
182.760896,51,15465.677291
168.773781,47,15468.404512
-179.900097,450,15493.53505
221.752025,450,15517.840209
396.613051,240,15530.968591
150.064106,450,15555.343111
-80.236053,450,15580.183121
263.143208,168,15589.431016
317.71523,176,15599.018308
319.729342,274,15614.101282
260.056982,134,15621.500789
279.424902,204,15632.722097
256.409001,133,15640.139689
